to_keep	game	platforms	editor	developer	gender	type	year
1	Styx: Shards of Darkness	PC, PS4, Xbox One	Focus Home Interactive	Cyanide Studio	m	action / infiltration / heroic fantasy /  aventure / 3e personne / monde ouvert / comédie / rpg	2016
1	Super Hypercube	PSVR	Polytron	Kokoromi	other	casse-tête / puzzle	2016
1	Syberia 3	PS4, Xbox One, PC	Anuman Interactive	Koalabs	f	aventure / Point'n Click	2016
1	The Culling	Xbox One, PC	Xaviant	Xaviant	multi	Survie / action / battle royale / 1ère personne / fps / monde ouvert / stratégie 	2016
1	The Turing Test	Xbox One, PC	Square Enix	Bulkhead Interactive	f	réflexion / aventure / puzzle / espace / narratif / science-fiction / horreur	2016
1	Tekken 7	Xbox One, PS4, PC	Bandai Namco Games	Bandai Namco Games	multi	Combat / action / arcade / narratif / beat them all / sport / 3e personne	2016
1	The Walking Dead : A New Frontier	PC, Xbox One, PS4	Telltale Games	Telltale Games	m	aventure / Point'n Click / zombies / horreur	2016
1	Titanfall 2*	PC, PS4, Xbox One	Electronic Arts	Respawn Entertainment	multi	Science-Fiction / Robots / fps	2016
1	Touhou: Genso Wanderer	PS4	NIS America	Aqua Style	f	rpg / aventure / Rogue-like	2016
1	Trials of the Blood Dragon	Xbox One, PC, PS4	Ubisoft	Ubisoft	multi	Plateformes / action / course / automobile	2016
1	Valentino Rossi: The Game 	PC, PS4, Xbox One	Milestone	Milestone	multi	course / automobile / sport	2016
1	Warhammer 40,000: Inquisitor-Martyr	PC, PS4, Xbox One	NeocoreGames	NeocoreGames	multi	action / rpg  / hack’n’slash 	2016
1	Watch Dogs 2	PC, PS4, Xbox One	Ubisoft	Ubisoft	m	infiltration / aventure / action	2016
1	We Happy Few	Xbox, PS4, PC	Gearbox Publishing	Compulsion Games	multi	Survie / Monde ouvert / Horreur psychologique / Dystopique / 1re personne / Horreur / Aventure / Action / Infiltration / Exploration / Rogue-like	2016
1	Xing: The Land Beyond	PC, PS4	White Lotus Interactive	White Lotus Interactive	other	aventure / réflexion / puzzle / 1ère personne	2016
1	Yakuza 0	PS4, PS3	Sega	Ryū ga Gotoku Studio	m	Action / narratif / Beat them all / monde ouvert / rpg / aventure / humour / comédie / 3e personne	2016
1	Yesterday Origins	PS4, Xbox One, PC	Microïds,	Pendulo Studios	multi	Point'n Click / mystère / sombre / thriller / aventure	2016
1	Yooka Laylee	Xbox One, PS4, Wii U, PC	Team 17	Playtonic Games	multi	action / plateformes / aventure / exploration / humour / rétro / monde ouvert / comédie	2016
1	Zero Time Dilemma	PS Vita, Nintendo 3DS, PC	Aksys Games	Spike Chunsoft	multi	Casse-tête / horreur / narratif / aventure / science-fiction / thriller / Pointer et cliquer	2016
1	13 Sentinels: Aegis RIM	Vita, PS4	Atlus	Vanillaware	multi	aventure / narratif	2017
1	A Duel Hand Disaster: Trackher	PS4, Xbox One, PC	Ask An Enemy Studios	Ask An Enemy Studios	other	action / Shoot'em Up	2017
1	A Plague Tale: Innocence	Xbox One, PS4, PC	Focus Home Interactive	Asobo Studio	f	Action / aventure / Infiltration	2017
1	A Way Out	PS4, Xbox One, PC	Electronic Arts	Hazelight Studios	m	action / aventure	2017
1	Anthem	PC, Xbox One, PS4	Electronic Arts	BioWare	multi	Action / rpg	2017
1	Arms 	Switch	Nintendo	Nintendo EPD	multi	Combat	2017
1	Assassin's Creed Origins	PS4, Xbox One, PC	Ubisoft	Ubisoft Montréal	m	Histoire / Action / RPG / Exploration / troisième personne / aventure / infiltration / action / monde ouvert	2017
1	Asura	PC	Ogre Head Studio, Coconut Island Studio	Ogre Head Studio	m	Action / Hack 'n' slash / Rogue-like / Mythologie	2017
1	Aven Colony	PS4, Xbox One, PC	Team17	Mothership Entertainment	other	gestion / stratégie / city-builder	2017
1	Away: Journey to the Unexpected *	Xbox One, PS4, PC, Wii U, Switch	Playdius Entertainment	Aurélien Regard, Jim Gennisson, Aurelien Regard Games	m	aventure / action / Rogue-like	2017
1	Aztez	PS4, Xbox One, Wii U, PS Vita, PC	Team Colorblind	Team Colorblind	m	Action / Stratégie / Beat them all / troisième personne	2017
1	Battlerite	Xbox One	Stunlock Studios	Stunlock Studios	multi	Action / Tir / Combat / Stratégie / Hack 'n' slash / RPG 	2017
1	Battlesloths 2025: The Great Pizza Wars	Mac, PC	Rooster Teeth Productions	Invisible Collective	other	Action / Humour	2017
1	BattleTech	PC	Paradox Interactive	Harebrained Schemes	multi	robots / Stratégie / tactique / Science-fiction / Aventure / Action / rpg / futuriste / gestion / espace 	2017
1	Blade Strangers	Switch	Nicalis, Pikii	Studio Saizensen	multi	action / combat	2017
1	Black Desert Online	PC, Xbox One	Kakao Games	Pearl Abyss	multi	MMORPG / action / RPG	2017
1	Blasters of the Universe	PC	The Secret Location	The Secret Location	other	action / arcade / fps	2017
1	Bravo Team	PS4	Sony Interactive Entertainment	Supermassive Games	multi	FPS	2017
1	Brawlout	PS4, Xbox One, PC	Angry Mob Games	Angry Mob Games	multi	Combat / Action / Plateformes	2017
1	Call of Cthulhu	PS4, Xbox One, PC	Cyanide Studio	Focus Home Interactive	m	Survie / horreur / RPG / aventure / narration / détective / FPS 	2017
1	Call of Duty: WWII	PS4, Xbox One, PC	Activision	Sledgehammer Games	m	Action / FPS / tir	2017
1	Code Vein	Xbox One, PS4	Bandai Namco Entertainment	BANDAI NAMCO Studio	multi	action / RPG / apocalyptique	2017
1	Community INC	PC	tinyBuild Games	T4 Interactive	other	simulation / stratégie / construction / survie	2017
1	Conquerors Blade	PC, PS4	My.com, Booming Games	Booming Games	multi	Action / Stratégie / RPG / Monde ouvert / MMORPG / Médiéval	2017
1	Crackdown 3	Xbox One, PC	Microsoft Studios	Reagent Games	multi	action / aventure / Tir en vue objective	2017
1	Culdcept Revolt	3DS	NIS America	Omiya soft	m	Jeu de cartes	2017
1	Danganronpa V3: Killing Harmony	PS4, Vita, PC	Spike Chunsoft	Spike Chunsoft	f	histoire / détective / mystère / aventure / horreur / comédie / humour	2017
1	Dark and Light	Xbox One	Snail Games USA	Snail Games USA	multi	Monde ouvert / Survie / RPG / Fantasy / aventure / MMORPG / action / médiéval	2017
1	The Darwin Project	PC, Xbox One	Scavengers Studio	Scavengers Studio	multi	Battle Royale / Survie / Action / Aventure / Coopération / tir / 3e personne	2017
1	Destiny 2	PS4, Xbox One, PC	Activision et par Sony Interactive Entertainment .	Bungie Studios 	multi	tir / action / fps	2017
1	Dishonored 2: Death of the Outsider	PS4, Xbox One, PC	Bethesda Softworks	Arkane Studios	f	Infiltration / action / 1ère personne / violence / magie / aventure / monde ouvert / fps	2017
1	Dissidia Final Fantasy NT	PS4	Team Ninja	Square Enix	multi	Action / combat / fantasy	2017
1	Doom VFR	PC	Bethesda Softworks	id Software	other	Violence / action / gore / fps / tir / horreur / science-fiction	2017
1	Dragon Ball FighterZ 	PC, PS4, Xbox One, Switch	Bandai Namco Entertainment	Arc System Works	multi	combat / action / arcade / narratif / beat 'em up	2017
1	Dunk Lords	Xbox One	Story Fort	Story Fort	multi	two-on-two / basketball / beat 'em up /sport	2017
1	Etrian Odyssey V: Beyond The Myth	3DS	Atlus	Atlus	multi	RPG	2017
1	Everybody's Golf	PS4	Sony Interactive Entertainment	Clap Hanz, SIE Japan Studio	multi	sport / golf	2017
1	Extinction	PS4, Xbox One, PC	Maximum Games	Iron Galaxy	m	Heroic Fantasy / action / aventure / violence / monde ouvert	2017
1	Fable Fortune	Xbox One, PC	Mediatonic	 Mediatonic, Flaming Fowl Studios	other	cartes	2017
1	Far Cry 5	PC, PS4, Xbox One	Ubisoft	Ubisoft	multi	action / fps / infiltration	2017
1	FIFA 18 	PS4, Xbox One	Electronic Arts	Electronic Arts	multi	sport / football	2017
1	Fire Emblem Warriors	Nintendo 3DS	Koei Tecmo Games, Nintendo	Omega Force, Team Ninja	multi	RPG / Hack 'n' slash	2017
1	Fortnite	PC, Xbox One, PS4, iOS	Epic Games	Epic Games / People Can Fly	multi	survie / action / battle royale	2017
1	Forza Motorsport 7	Xbox One, Xbox One X, PC	Microsoft Studios	Turn 10 Studios	multi	course / sport / automobile / voiture	2017
1	Genesis Alpha One	PS4, Xbox One, PC	Team17	Radiation Blue	multi	Construction / RPG / survie / action / espace / violence / aventure / simulation / espace / fps / rogue-like	2017
1	Gran Turismo Sport	PS4	Sony Interactive Entertainment	Polyphony Digital	m	course / sport / automobile / voiture	2017
1	Harvest Moon: Light of Hope 	PS4, Switch, PC	Natsume	Tabot	multi	RPG / simulation / aventure / agriculture	2017
1	Harvest Moon: Lil' Farmers	iOS, Android, Kindle	Natsume	Natsume	other	simulation	2017
1	Hello Neighbor	Xbox One, PC	tinyBuild	Dynamic Pixels	m	Horreur / 1re personne / infiltration / stratégie / aventure / survie / action / fps / coopération	2017
1	Hey! PIKMIN	3DS	Nintendo	Arzest	m	action / plate-formes	2017
1	Hidden Agenda	PS4	Sony Interactive Entertainment	Supermassive Games	f	narratif / réflexion / enquête	2017
1	Just Dance 2018	Xbox One, PS4, Switch, Wii, WiiU, 360, PS4	Ubisoft	Ubisoft	multi	musique / danse / rythme	2017
1	Kaidro: The Awakening	PC		Gadget Bot	f	robots 	2017
1	Kingdom Hearts 3 	PS4, Xbox One	Square Enix	Square Enix	multi	action / rpg	2017
1	Kirby Star Allies	Switch	Nintendo	HAL Laboratory	other	plate-formes / aventure	2017
