to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie	Annoncé en
1	Eagle Flight	PlayStation 4, Microsoft Windows	Ubisoft	Ubisoft	n/a	Le joueur incarne un aigle.	Réalité Virtuelle	https://www.realite-virtuelle.com/test-eagle-flight-ubisoft	https://www.ubisoft.com/fr-fr/game/eagle-flight/	http://www.jeuxvideo.com/test/555999/eagle-flight-ubi-prend-son-envol-dans-la-realite-virtuelle.htm	simulation / action / vr / vol	yes	18/10/2016	
0 (2015)	The Elder Scrolls Legends	PC, Android, iPhone	Dire Wolf	Bethesda Softworks						http://www.jeuxvideo.com/test/623860/the-elder-scrolls-legends-un-hearthstone-like-correct-qui-manque-d-arguments.htm	stratégie / cartes /  Fantasy / société / nudité / action	yes		
0 (version remastérisée)	Elder Scrolls V: Skyrim Special Edition	PC, PS4, Xbox One	Bethesda Softworks										28/10/2016	2016 (E3)
0 (2015, missing)	Eitr†	PS4, PC	Devolver Digital	Eneme Entertainment	F	Le joueur incarne une héroine.	GameKULT	https://www.gamekult.com/actualite/eitr-refait-surface-dans-les-voeux-2019-de-devolver-3050812575.html	https://www.youtube.com/watch?v=UDAc-LR6E7o					
0 (2014)	EVE Valkyrie†	PC, PSVR												
1	Everest VR	HTC Vive	Sólfar Studios	Sólfar Studios	gender-ambiguous	On incarne un personnage qui fait l'ascension de l'Everest. Pas de genre clair.	EVEREST VR - Full Gameplay Playthrough (Youtube)	https://www.youtube.com/watch?v=QfxJfEtg78s	https://store.playstation.com/fr-fr/product/EP3085-CUSA07210_00-EVERESTVRREL1001	https://www.vrplayer.fr/psvr-everest-vr-playstation-vr/		no	04/10/2017	
1	Everspace	Xbox One, PC	ROCKFISH GAMES	ROCKFISH GAMES	M	Il n'y aura pas de "voix de pilote féminine" pour des raisons de "budget".	Everspace First 15 Minutes of Gameplay | 1080P 60FPS | Let's Play (youtube)	https://www.youtube.com/watch?v=mJHkkZnamRU	https://steamcommunity.com/app/396750/discussions/0/343786746003563838/	http://www.jeuxvideo.com/jeux/jeu-438265/#details	action / aventure / rogue-like / science-fiction	no	26/05/2017	
1	Exile's End	Wii U, PS4, PS Vita	Marvelous	Magnetic Realms	M	Le joueur incarne un soldat.	Actu gaming	https://www.actugaming.net/test-exiles-end-exile-met-longtemps-a-prendre-fin-70385/	https://store.steampowered.com/app/382130/Exiles_End/	http://www.jeuxvideo.com/jeux/ps4/jeu-498666/#details	action / plateforme	no	01/09/2015	
0 (nouveau support, ok)	Fallout Shelter (PC)	PC						https://www.falloutshelter.com/						
1	Fate/Extella: The Umbral Star	PS4, PS Vita, Nintendo Switch	Marvelous	Marvelous	Multi (choix)	Des personnages masculins et féminins sont disponibles.	Site officiel de Fate/Extella	http://www.fateextella.com/char.html	https://www.youtube.com/watch?v=qvt4n-riGZ4	https://www.youtube.com/watch?v=CE9Y7mk59k8	action / hack 'n' slash	yes	10/11/2016 (Japon)	
1	Fe	TBA	Electronic Arts	Zoink	n/a	Le joueur incarne un petit animal, non genré.	Jeux Actu	https://www.jeuxactu.com/test-fe-le-nouveau-jeu-inde-d-electronic-arts-fait-il-vraiment-de-l-ef-112718.htm	https://www.lesinrocks.com/2018/02/17/jeux-video/jeux-video/comment-jai-echoue-jouer-fe-ou-pourquoi-ceci-nest-pas-une-critique-de-jeu-video/	https://www.youtube.com/watch?v=AXUslX4334U	metroidvania / aventure / action / plate-formes	no	16/02/2018	
1	FIFA 17†*	Xbox One, PC, PS4	Electronic Arts	Electronic Arts	Multi (choix)	Le jeu propose un mode histoire centré sur un homme, et la possibilité d'incarner des équipes masculines et féminines.	EA	https://www.ea.com/fr-fr/games/fifa/fifa-19/news/fifa-17-player-ratings-top-20-women	http://www.jeuxvideo.com/jeux/jeu-444837/#details	https://www.youtube.com/watch?v=ejoibukUVUc	sport / football	yes	27/09/2016	
1	Final Fantasy XII: The Zodiac Age	PS4	Square Enix	Square Enix	Multi (choix)			https://www.gamekult.com/jeux/final-fantasy-xii-3050708543/video-3052277119.html	https://www.youtube.com/watch?v=kXssApwEkXQ	https://www.youtube.com/watch?v=aDbcKeh3OzY		no		
0 (2013)	Final Fantasy XV†	PS4, Xbox One	Square Enix	Square Enix										
